day,date,platform,topic,status,script,hook,caption,hashtags,visual_plan,drive_folder,drive_script,drive_images,drive_stock,drive_ai_video,drive_audio,drive_final,notes
1,2026-08-19,instagram,5 n8n automations every local business needs,pending,,,,,,,,,,,
2,2026-08-20,youtube,Your website is losing leads in 8 seconds,pending,,,,,,,,,,,
3,2026-08-21,instagram,Stop posting random Reels. Use this 3-part hook,pending,,,,,,,,,,,
4,2026-08-22,instagram,WhatsApp booking bot that replaces a receptionist,pending,,,,,,,,,,,
5,2026-08-23,youtube,I would rebuild a local business website in 7 days like this,pending,,,,,,,,,,,
6,2026-08-24,instagram,Google Ads waste: 4 leaks I fix first,pending,,,,,,,,,,,
7,2026-08-25,instagram,One landing page layout that actually sells,pending,,,,,,,,,,,
8,2026-08-26,youtube,n8n vs doing marketing tasks by hand every night,pending,,,,,,,,,,,
9,2026-08-27,instagram,Why your offer is invisible on Instagram,pending,,,,,,,,,,,
10,2026-08-28,instagram,CRM follow-up sequence I install for coaches,pending,,,,,,,,,,,
11,2026-08-29,youtube,From messy WhatsApp chats to a client pipeline,pending,,,,,,,,,,,
12,2026-08-30,instagram,Website sections that make people trust you,pending,,,,,,,,,,,
13,2026-08-31,instagram,Content calendar in a Sheet. This is how Loop Work runs,pending,,,,,,,,,,,
14,2026-09-01,youtube,Digital marketing stack for a shop with 1 owner,pending,,,,,,,,,,,
15,2026-09-02,instagram,The CTA that gets DMs without looking desperate,pending,,,,,,,,,,,
16,2026-09-03,instagram,Automate invoices, reminders, and reviews in n8n,pending,,,,,,,,,,,
17,2026-09-04,youtube,Before/after: slow website vs a site that books calls,pending,,,,,,,,,,,
18,2026-09-05,instagram,Hashtags are not a strategy. This is,pending,,,,,,,,,,,
19,2026-09-06,instagram,Lead magnet + email + WhatsApp. One n8n flow,pending,,,,,,,,,,,
20,2026-09-07,youtube,How I plan 30 days of Reels from one Google Sheet,pending,,,,,,,,,,,
21,2026-09-08,instagram,Price your automation offer without guessing,pending,,,,,,,,,,,
22,2026-09-09,instagram,Stock + AI images + 1 AI clip. The mix that looks premium,pending,,,,,,,,,,,
23,2026-09-10,youtube,Fix your Google Business Profile before running ads,pending,,,,,,,,,,,
24,2026-09-11,instagram,Script formula: hook, problem, proof, CTA,pending,,,,,,,,,,,
25,2026-09-12,instagram,Website speed, mobile, and WhatsApp button. Do these 3,pending,,,,,,,,,,,
26,2026-09-13,youtube,Client onboarding automation I reuse on every project,pending,,,,,,,,,,,
27,2026-09-14,instagram,Why faceless Reels still need a human approve step,pending,,,,,,,,,,,
28,2026-09-15,instagram,Retargeting ads after a Reel without burning money,pending,,,,,,,,,,,
29,2026-09-16,youtube,Full Loop Work system: Sheet, script, visuals, Drive,pending,,,,,,,,,,,
30,2026-09-17,instagram,DM this if you want this engine for your brand,pending,,,,,,,,,,,
